Stand_GNN,SoilName,PctOfStand,Climate,BaselineSed,TrtIn2025,SedSpikeIn2025,TrtIn2045,SedSpikeIn2045
Stand_104_GNN_25336,Dinzer,,,,,,,
Stand_78_GNN_149639,Dinzer,,,,,,,
Stand_60_GNN_9024,Dinzer,,,,,,,
Stand_58_GNN_14780,Minkwell,,,,,,,
Stand_1_GNN_145522,Dinzer,,,,,,,
Stand_105_GNN_141180,Minkwell,,,,,,,
Stand_163_GNN_129875,Minkwell,,,,,,,
Stand_164_GNN_25119,Dinzer,,,,,,,
Stand_87_GNN_84026,Rock outcrop,,,,,,,
Stand_104_GNN_137444,Dinzer,,,,,,,
Stand_117_GNN_21307,Dinzer,,,,,,,
Stand_215_GNN_13333,Minkwell,,,,,,,
Stand_61_GNN_14234,Dinzer,,,,,,,
Stand_209_GNN_20888,Dinzer,,,,,,,
Stand_129_GNN_14451,Minkwell,,,,,,,
Stand_123_GNN_29476,Dinzer,,,,,,,
Stand_45_GNN_9024,Minkwell,,,,,,,
Stand_19_GNN_9895,Dinzer,,,,,,,
Stand_2_GNN_12111,Minkwell,,,,,,,
Stand_64_GNN_127780,Minkwell,,,,,,,
Stand_266_GNN_133529,Rock outcrop,,,,,,,
Stand_102_GNN_13091,Dinzer,,,,,,,
Stand_117_GNN_25516,Minkwell,,,,,,,
Stand_36_GNN_24219,Dinzer,,,,,,,
Stand_133_GNN_25119,Dinzer,,,,,,,
Stand_8_GNN_84088,Dinzer,,,,,,,
Stand_16_GNN_25306,Minkwell,,,,,,,
Stand_223_GNN_24337,Dinzer,,,,,,,
Stand_122_GNN_24219,Dinzer,,,,,,,
Stand_122_GNN_24218,Dinzer,,,,,,,
Stand_224_GNN_93760,Dinzer,,,,,,,
Stand_109_GNN_25052,Minkwell,,,,,,,
Stand_295_GNN_20740,Minkwell,,,,,,,
Stand_12_GNN_2931,Minkwell,,,,,,,
Stand_119_GNN_137472,Minkwell,,,,,,,
Stand_14_GNN_12642,Dinzer,,,,,,,
Stand_12_GNN_2932,Minkwell,,,,,,,
Stand_142_GNN_13091,Minkwell,,,,,,,
Stand_21_GNN_25253,Dinzer,,,,,,,
Stand_294_GNN_13575,Minkwell,,,,,,,
Stand_97_GNN_137471,Dinzer,,,,,,,
Stand_165_GNN_20484,Minkwell,,,,,,,
Stand_275_GNN_92853,Minkwell,,,,,,,
Stand_102_GNN_137268,Dinzer,,,,,,,
Stand_287_GNN_133913,Dinzer,,,,,,,
Stand_190_GNN_85910,Dinzer,,,,,,,
Stand_49_GNN_20760,Minkwell,,,,,,,
Stand_139_GNN_82600,Dinzer,,,,,,,
Stand_7_GNN_15235,Dinzer,,,,,,,
Stand_19_GNN_24440,Dinzer,,,,,,,
Stand_155_GNN_25195,Rock outcrop,,,,,,,
Stand_255_GNN_128291,Dinzer,,,,,,,
Stand_89_GNN_137492,Minkwell,,,,,,,
Stand_20_GNN_24726,Dinzer,,,,,,,
Stand_223_GNN_137256,Dinzer,,,,,,,
Stand_261_GNN_78787,Dinzer,,,,,,,
Stand_221_GNN_25336,Dinzer,,,,,,,
Stand_52_GNN_20740,Minkwell,,,,,,,
Stand_77_GNN_20760,Dinzer,,,,,,,
Stand_50_GNN_129875,Minkwell,,,,,,,
Stand_109_GNN_24981,Minkwell,,,,,,,
Stand_29_GNN_2937,Dinzer,,,,,,,
Stand_149_GNN_82596,Minkwell,,,,,,,
Stand_115_GNN_9024,Minkwell,,,,,,,
Stand_67_GNN_23983,Minkwell,,,,,,,
Stand_3_GNN_78828,Dinzer,,,,,,,
Stand_220_GNN_21178,Minkwell,,,,,,,
Stand_295_GNN_81101,Minkwell,,,,,,,
Stand_64_GNN_25120,Minkwell,,,,,,,
Stand_278_GNN_9091,Minkwell,,,,,,,
Stand_54_GNN_8799,Minkwell,,,,,,,
Stand_9_GNN_13390,Minkwell,,,,,,,
Stand_114_GNN_137417,Minkwell,,,,,,,
Stand_73_GNN_141226,Dinzer,,,,,,,
Stand_136_GNN_25020,Minkwell,,,,,,,
Stand_258_GNN_14563,Dinzer,,,,,,,
Stand_11_GNN_13239,Minkwell,,,,,,,
Stand_104_GNN_133913,Dinzer,,,,,,,
Stand_286_GNN_24218,Dinzer,,,,,,,
Stand_221_GNN_14528,Minkwell,,,,,,,
Stand_277_GNN_133151,Dinzer,,,,,,,
Stand_74_GNN_137256,Dinzer,,,,,,,
Stand_286_GNN_85910,Minkwell,,,,,,,
Stand_61_GNN_140949,Dinzer,,,,,,,
Stand_226_GNN_24981,Dinzer,,,,,,,
Stand_0_GNN_137444,Dinzer,,,,,,,
Stand_105_GNN_133889,Minkwell,,,,,,,
Stand_123_GNN_84053,Dinzer,,,,,,,
Stand_226_GNN_21178,Dinzer,,,,,,,
Stand_112_GNN_137472,Minkwell,,,,,,,
Stand_112_GNN_145350,Minkwell,,,,,,,
Stand_15_GNN_25172,Minkwell,,,,,,,
Stand_0_GNN_24259,Dinzer,,,,,,,
Stand_77_GNN_20610,Dinzer,,,,,,,
Stand_151_GNN_80679,Dinzer,,,,,,,
Stand_297_GNN_9024,Minkwell,,,,,,,
Stand_293_GNN_137268,Minkwell,,,,,,,
Stand_67_GNN_20983,Minkwell,,,,,,,
Stand_66_GNN_8711,Minkwell,,,,,,,
Stand_209_GNN_132547,Dinzer,,,,,,,
Stand_111_GNN_85910,Minkwell,,,,,,,
Stand_61_GNN_149040,Dinzer,,,,,,,
Stand_123_GNN_9057,Dinzer,,,,,,,
Stand_260_GNN_137256,Dinzer,,,,,,,
Stand_180_GNN_24259,Dinzer,,,,,,,
Stand_84_GNN_94203,Dinzer,,,,,,,
Stand_2_GNN_15240,Minkwell,,,,,,,
Stand_124_GNN_20674,Minkwell,,,,,,,
Stand_295_GNN_25151,Minkwell,,,,,,,
Stand_111_GNN_14451,Minkwell,,,,,,,
Stand_111_GNN_14452,Minkwell,,,,,,,
Stand_64_GNN_21112,Minkwell,,,,,,,
Stand_256_GNN_29475,Dinzer,,,,,,,
Stand_101_GNN_140681,Dinzer,,,,,,,
Stand_7_GNN_20888,Dinzer,,,,,,,
Stand_240_GNN_25119,Dinzer,,,,,,,
Stand_65_GNN_137417,Minkwell,,,,,,,
Stand_102_GNN_25120,Minkwell,,,,,,,
Stand_250_GNN_140848,Dinzer,,,,,,,
Stand_3_GNN_21148,Dinzer,,,,,,,
Stand_40_GNN_137492,Minkwell,,,,,,,
Stand_91_GNN_78787,Dinzer,,,,,,,
Stand_155_GNN_9895,Rock outcrop,,,,,,,
Stand_8_GNN_150017,Dinzer,,,,,,,
Stand_5_GNN_24726,Dinzer,,,,,,,
Stand_164_GNN_141067,Dinzer,,,,,,,
Stand_46_GNN_136333,Minkwell,,,,,,,
Stand_37_GNN_82600,Minkwell,,,,,,,
Stand_162_GNN_80679,Dinzer,,,,,,,
Stand_244_GNN_149352,Dinzer,,,,,,,
Stand_30_GNN_149512,Dinzer,,,,,,,
Stand_37_GNN_13032,Minkwell,,,,,,,
Stand_33_GNN_81109,Dinzer,,,,,,,
Stand_14_GNN_24437,Dinzer,,,,,,,
Stand_80_GNN_141226,Dinzer,,,,,,,
Stand_197_GNN_2928,Dinzer,,,,,,,
Stand_67_GNN_14451,Minkwell,,,,,,,
Stand_67_GNN_14453,Minkwell,,,,,,,
Stand_67_GNN_14452,Minkwell,,,,,,,
Stand_218_GNN_86813,Rock outcrop,,,,,,,
Stand_14_GNN_13476,Dinzer,,,,,,,
Stand_74_GNN_24337,Dinzer,,,,,,,
Stand_296_GNN_137417,Minkwell,,,,,,,
Stand_91_GNN_80730,Dinzer,,,,,,,
Stand_182_GNN_25053,Dinzer,,,,,,,
Stand_81_GNN_25019,Minkwell,,,,,,,
Stand_79_GNN_133913,Dinzer,,,,,,,
Stand_297_GNN_129875,Minkwell,,,,,,,
Stand_192_GNN_29476,Dinzer,,,,,,,
Stand_20_GNN_137417,Dinzer,,,,,,,
Stand_108_GNN_137000,Minkwell,,,,,,,
Stand_88_GNN_21209,Dinzer,,,,,,,
Stand_33_GNN_84053,Dinzer,,,,,,,
Stand_275_GNN_29387,Minkwell,,,,,,,
Stand_94_GNN_24382,Dinzer,,,,,,,
Stand_0_GNN_129921,Rock outcrop,,,,,,,
Stand_106_GNN_14291,Minkwell,,,,,,,
Stand_151_GNN_133151,Dinzer,,,,,,,
Stand_223_GNN_141226,Dinzer,,,,,,,
Stand_115_GNN_20740,Minkwell,,,,,,,
Stand_10_GNN_25088,Dinzer,,,,,,,
Stand_116_GNN_94106,Dinzer,,,,,,,
Stand_168_GNN_25151,Minkwell,,,,,,,
Stand_18_GNN_94203,Dinzer,,,,,,,
Stand_9_GNN_8711,Minkwell,,,,,,,
Stand_57_GNN_9024,Minkwell,,,,,,,
Stand_52_GNN_8959,Minkwell,,,,,,,
Stand_205_GNN_136333,Minkwell,,,,,,,
Stand_290_GNN_145213,Minkwell,,,,,,,
Stand_19_GNN_131381,Dinzer,,,,,,,
Stand_158_GNN_9057,Dinzer,,,,,,,
Stand_58_GNN_24219,Dinzer,,,,,,,
Stand_136_GNN_23544,Minkwell,,,,,,,
Stand_122_GNN_136333,Dinzer,,,,,,,
Stand_141_GNN_24440,Dinzer,,,,,,,
Stand_61_GNN_137471,Dinzer,,,,,,,
Stand_118_GNN_25120,Dinzer,,,,,,,
Stand_144_GNN_8663,Minkwell,,,,,,,
Stand_10_GNN_93088,Dinzer,,,,,,,
Stand_168_GNN_25336,Minkwell,,,,,,,
Stand_151_GNN_141226,Dinzer,,,,,,,
Stand_139_GNN_14452,Dinzer,,,,,,,
Stand_102_GNN_133281,Dinzer,,,,,,,
Stand_91_GNN_13476,Dinzer,,,,,,,
Stand_95_GNN_9157,Dinzer,,,,,,,
Stand_89_GNN_141226,Minkwell,,,,,,,
Stand_166_GNN_133286,Minkwell,,,,,,,
Stand_11_GNN_9024,Minkwell,,,,,,,
Stand_101_GNN_8048,Dinzer,,,,,,,
Stand_184_GNN_137471,Minkwell,,,,,,,
Stand_236_GNN_94201,Dinzer,,,,,,,
Stand_36_GNN_84334,Dinzer,,,,,,,
Stand_11_GNN_25336,Minkwell,,,,,,,
Stand_165_GNN_25306,Minkwell,,,,,,,
Stand_116_GNN_137526,Dinzer,,,,,,,
Stand_74_GNN_137000,Dinzer,,,,,,,
Stand_187_GNN_89425,Dinzer,,,,,,,
Stand_2_GNN_23577,Minkwell,,,,,,,
Stand_25_GNN_25088,Dinzer,,,,,,,
Stand_136_GNN_12194,Minkwell,,,,,,,
Stand_44_GNN_137472,Minkwell,,,,,,,
Stand_156_GNN_78787,Dinzer,,,,,,,
Stand_69_GNN_24403,Minkwell,,,,,,,
Stand_229_GNN_9057,Minkwell,,,,,,,
Stand_153_GNN_23651,Dinzer,,,,,,,
Stand_22_GNN_14345,Dinzer,,,,,,,
Stand_22_GNN_14346,Dinzer,,,,,,,
Stand_46_GNN_20557,Minkwell,,,,,,,
Stand_128_GNN_137444,Dinzer,,,,,,,
Stand_4_GNN_84053,Dinzer,,,,,,,
Stand_44_GNN_14234,Minkwell,,,,,,,
Stand_149_GNN_24202,Minkwell,,,,,,,
Stand_80_GNN_24981,Dinzer,,,,,,,
Stand_184_GNN_141226,Minkwell,,,,,,,
Stand_295_GNN_13651,Minkwell,,,,,,,
Stand_275_GNN_105189,Minkwell,,,,,,,
Stand_286_GNN_2331,Dinzer,,,,,,,
Stand_121_GNN_20806,Minkwell,,,,,,,
Stand_224_GNN_14346,Minkwell,,,,,,,
Stand_261_GNN_9482,Dinzer,,,,,,,
Stand_230_GNN_14451,Minkwell,,,,,,,
Stand_230_GNN_14452,Minkwell,,,,,,,
Stand_22_GNN_20951,Dinzer,,,,,,,
Stand_229_GNN_21178,Minkwell,,,,,,,
Stand_12_GNN_21112,Minkwell,,,,,,,
Stand_286_GNN_14528,Minkwell,,,,,,,
Stand_158_GNN_14451,Dinzer,,,,,,,
Stand_103_GNN_20674,Dinzer,,,,,,,
Stand_203_GNN_133913,Dinzer,,,,,,,
Stand_177_GNN_9024,Dinzer,,,,,,,
Stand_9_GNN_29454,Minkwell,,,,,,,
Stand_30_GNN_9057,Dinzer,,,,,,,
Stand_39_GNN_2931,Minkwell,,,,,,,
Stand_301_GNN_14292,Minkwell,,,,,,,
Stand_23_GNN_14525,Dinzer,,,,,,,
Stand_38_GNN_24240,Minkwell,,,,,,,
Stand_108_GNN_84053,Minkwell,,,,,,,
Stand_4_GNN_131381,Dinzer,,,,,,,
Stand_61_GNN_80679,Dinzer,,,,,,,
Stand_256_GNN_84328,Dinzer,,,,,,,
Stand_51_GNN_9024,Minkwell,,,,,,,
Stand_93_GNN_25253,Dinzer,,,,,,,
Stand_46_GNN_137417,Minkwell,,,,,,,
Stand_39_GNN_8959,Minkwell,,,,,,,
Stand_12_GNN_25053,Minkwell,,,,,,,
Stand_302_GNN_130631,Dinzer,,,,,,,
Stand_112_GNN_84291,Minkwell,,,,,,,
Stand_2_GNN_29474,Minkwell,,,,,,,
Stand_198_GNN_13091,Minkwell,,,,,,,
Stand_224_GNN_137417,Dinzer,,,,,,,
Stand_197_GNN_137506,Dinzer,,,,,,,
Stand_104_GNN_84334,Dinzer,,,,,,,
Stand_164_GNN_13302,Dinzer,,,,,,,
Stand_69_GNN_85910,Minkwell,,,,,,,
Stand_46_GNN_141180,Minkwell,,,,,,,
Stand_101_GNN_78642,Dinzer,,,,,,,
Stand_158_GNN_21177,Dinzer,,,,,,,
Stand_61_GNN_145381,Dinzer,,,,,,,
Stand_47_GNN_24403,Minkwell,,,,,,,
Stand_180_GNN_133913,Dinzer,,,,,,,
Stand_227_GNN_24202,Dinzer,,,,,,,
Stand_20_GNN_13970,Dinzer,,,,,,,
Stand_179_GNN_85910,Dinzer,,,,,,,
Stand_217_GNN_24617,Minkwell,,,,,,,
Stand_123_GNN_2946,Dinzer,,,,,,,
Stand_17_GNN_84053,Dinzer,,,,,,,
Stand_287_GNN_93760,Dinzer,,,,,,,
Stand_49_GNN_141180,Minkwell,,,,,,,
Stand_265_GNN_137213,Dinzer,,,,,,,
Stand_14_GNN_149512,Dinzer,,,,,,,
Stand_53_GNN_20740,Minkwell,,,,,,,
Stand_70_GNN_13239,Minkwell,,,,,,,
Stand_50_GNN_14528,Minkwell,,,,,,,
Stand_284_GNN_14451,Minkwell,,,,,,,
Stand_284_GNN_14452,Minkwell,,,,,,,
Stand_164_GNN_24237,Dinzer,,,,,,,
Stand_102_GNN_14528,Dinzer,,,,,,,
Stand_37_GNN_25090,Minkwell,,,,,,,
Stand_212_GNN_81141,Dinzer,,,,,,,
Stand_102_GNN_14291,Dinzer,,,,,,,
Stand_16_GNN_8959,Minkwell,,,,,,,
Stand_295_GNN_8685,Minkwell,,,,,,,
Stand_20_GNN_24463,Dinzer,,,,,,,
Stand_49_GNN_24203,Minkwell,,,,,,,
Stand_133_GNN_14346,Dinzer,,,,,,,
Stand_28_GNN_24218,Dinzer,,,,,,,
Stand_105_GNN_8508,Minkwell,,,,,,,
Stand_72_GNN_137471,Minkwell,,,,,,,
Stand_53_GNN_20529,Minkwell,,,,,,,
Stand_25_GNN_137213,Dinzer,,,,,,,
Stand_101_GNN_84334,Dinzer,,,,,,,
Stand_117_GNN_145522,Dinzer,,,,,,,
Stand_16_GNN_21178,Minkwell,,,,,,,
Stand_85_GNN_94203,Dinzer,,,,,,,
Stand_35_GNN_145200,Minkwell,,,,,,,
Stand_67_GNN_24617,Minkwell,,,,,,,
Stand_61_GNN_13574,Dinzer,,,,,,,
Stand_68_GNN_14981,Minkwell,,,,,,,
Stand_210_GNN_137268,Dinzer,,,,,,,
Stand_78_GNN_24440,Dinzer,,,,,,,
Stand_300_GNN_25150,Minkwell,,,,,,,
Stand_20_GNN_24642,Dinzer,,,,,,,
Stand_266_GNN_149512,Dinzer,,,,,,,
Stand_134_GNN_2331,Minkwell,,,,,,,
Stand_224_GNN_141180,Dinzer,,,,,,,
Stand_214_GNN_25253,Dinzer,,,,,,,
Stand_118_GNN_137417,Dinzer,,,,,,,
Stand_98_GNN_14563,Dinzer,,,,,,,
Stand_221_GNN_136257,Minkwell,,,,,,,
Stand_112_GNN_25151,Minkwell,,,,,,,
Stand_5_GNN_25088,Dinzer,,,,,,,
Stand_67_GNN_137492,Minkwell,,,,,,,
Stand_93_GNN_14451,Dinzer,,,,,,,
Stand_221_GNN_24337,Minkwell,,,,,,,
Stand_122_GNN_149408,Dinzer,,,,,,,
Stand_122_GNN_24238,Dinzer,,,,,,,
Stand_226_GNN_14451,Dinzer,,,,,,,
Stand_226_GNN_14452,Dinzer,,,,,,,
Stand_149_GNN_2932,Minkwell,,,,,,,
Stand_5_GNN_21437,Dinzer,,,,,,,
Stand_42_GNN_13450,Minkwell,,,,,,,
Stand_160_GNN_141067,Dinzer,,,,,,,
Stand_290_GNN_11892,Minkwell,,,,,,,
Stand_86_GNN_149639,Dinzer,,,,,,,
Stand_201_GNN_13031,Minkwell,,,,,,,
Stand_138_GNN_149639,Dinzer,,,,,,,
Stand_177_GNN_137256,Dinzer,,,,,,,
Stand_294_GNN_25053,Minkwell,,,,,,,
Stand_70_GNN_130631,Minkwell,,,,,,,
Stand_209_GNN_137298,Dinzer,,,,,,,
Stand_92_GNN_24236,Dinzer,,,,,,,
Stand_112_GNN_14292,Minkwell,,,,,,,
Stand_95_GNN_130881,Dinzer,,,,,,,
Stand_72_GNN_8277,Minkwell,,,,,,,
Stand_19_GNN_24463,Dinzer,,,,,,,
Stand_34_GNN_78788,Dinzer,,,,,,,
Stand_122_GNN_25019,Dinzer,,,,,,,
Stand_2_GNN_25647,Minkwell,,,,,,,
Stand_136_GNN_20557,Minkwell,,,,,,,
Stand_267_GNN_9023,Dinzer,,,,,,,
Stand_92_GNN_94201,Dinzer,,,,,,,
Stand_92_GNN_94203,Dinzer,,,,,,,
Stand_19_GNN_24641,Dinzer,,,,,,,
Stand_151_GNN_13565,Dinzer,,,,,,,
Stand_136_GNN_137367,Minkwell,,,,,,,
Stand_200_GNN_84334,Minkwell,,,,,,,
Stand_153_GNN_84328,Dinzer,,,,,,,
Stand_131_GNN_21178,Minkwell,,,,,,,
Stand_240_GNN_20888,Dinzer,,,,,,,
Stand_114_GNN_137472,Minkwell,,,,,,,
Stand_128_GNN_83057,Dinzer,,,,,,,
Stand_209_GNN_21209,Dinzer,,,,,,,
Stand_196_GNN_149512,Dinzer,,,,,,,
Stand_30_GNN_137341,Dinzer,,,,,,,
Stand_101_GNN_24617,Dinzer,,,,,,,
Stand_74_GNN_8661,Dinzer,,,,,,,
Stand_264_GNN_14452,Minkwell,,,,,,,
Stand_264_GNN_14451,Minkwell,,,,,,,
Stand_93_GNN_136960,Dinzer,,,,,,,
Stand_170_GNN_8959,Minkwell,,,,,,,
Stand_44_GNN_25120,Minkwell,,,,,,,
Stand_226_GNN_21112,Dinzer,,,,,,,
Stand_48_GNN_137492,Minkwell,,,,,,,
Stand_216_GNN_137492,Dinzer,,,,,,,
Stand_3_GNN_137318,Rock outcrop,,,,,,,
Stand_104_GNN_24238,Dinzer,,,,,,,
Stand_66_GNN_93776,Minkwell,,,,,,,
Stand_0_GNN_24236,Dinzer,,,,,,,
Stand_0_GNN_24237,Dinzer,,,,,,,
Stand_248_GNN_13808,Dinzer,,,,,,,
Stand_214_GNN_9057,Dinzer,,,,,,,
Stand_286_GNN_24588,Minkwell,,,,,,,
Stand_14_GNN_132547,Dinzer,,,,,,,
Stand_105_GNN_13575,Minkwell,,,,,,,
Stand_72_GNN_14346,Minkwell,,,,,,,
Stand_112_GNN_140908,Minkwell,,,,,,,
Stand_233_GNN_14525,Dinzer,,,,,,,
Stand_287_GNN_25172,Dinzer,,,,,,,
Stand_123_GNN_149299,Dinzer,,,,,,,
Stand_100_GNN_11891,Dinzer,,,,,,,
Stand_1_GNN_149512,Dinzer,,,,,,,
Stand_166_GNN_23577,Minkwell,,,,,,,
Stand_141_GNN_25119,Dinzer,,,,,,,
Stand_276_GNN_29452,Minkwell,,,,,,,
Stand_297_GNN_84334,Minkwell,,,,,,,
Stand_242_GNN_145350,Minkwell,,,,,,,
Stand_84_GNN_80730,Dinzer,,,,,,,
Stand_72_GNN_135336,Minkwell,,,,,,,
Stand_291_GNN_140973,Minkwell,,,,,,,
Stand_125_GNN_84053,Rock outcrop,,,,,,,
Stand_21_GNN_149639,Dinzer,,,,,,,
Stand_19_GNN_133151,Dinzer,,,,,,,
Stand_250_GNN_145614,Dinzer,,,,,,,
Stand_129_GNN_78642,Minkwell,,,,,,,
Stand_224_GNN_11892,Dinzer,,,,,,,
Stand_148_GNN_14528,Dinzer,,,,,,,
Stand_250_GNN_21437,Dinzer,,,,,,,
Stand_64_GNN_21178,Dinzer,,,,,,,
Stand_52_GNN_85910,Minkwell,,,,,,,
Stand_161_GNN_78788,Dinzer,,,,,,,
Stand_64_GNN_21177,Dinzer,,,,,,,
Stand_122_GNN_84334,Dinzer,,,,,,,
Stand_82_GNN_29023,Minkwell,,,,,,,
Stand_243_GNN_128648,Minkwell,,,,,,,
Stand_81_GNN_137492,Minkwell,,,,,,,
Stand_284_GNN_13091,Minkwell,,,,,,,
Stand_62_GNN_8277,Dinzer,,,,,,,
Stand_64_GNN_141226,Dinzer,,,,,,,
Stand_2_GNN_80665,Minkwell,,,,,,,
Stand_92_GNN_8994,Dinzer,,,,,,,
Stand_160_GNN_94192,Dinzer,,,,,,,
Stand_9_GNN_23697,Minkwell,,,,,,,
Stand_137_GNN_133151,Dinzer,,,,,,,
Stand_123_GNN_137471,Dinzer,,,,,,,
Stand_285_GNN_14447,Dinzer,,,,,,,
Stand_86_GNN_24981,Dinzer,,,,,,,
Stand_302_GNN_14408,Dinzer,,,,,,,
Stand_39_GNN_130881,Minkwell,,,,,,,
Stand_1_GNN_94201,Dinzer,,,,,,,
Stand_1_GNN_94203,Dinzer,,,,,,,
Stand_241_GNN_2331,Minkwell,,,,,,,
Stand_69_GNN_141180,Minkwell,,,,,,,
Stand_109_GNN_78788,Minkwell,,,,,,,
Stand_166_GNN_137256,Minkwell,,,,,,,
Stand_221_GNN_2331,Minkwell,,,,,,,
Stand_95_GNN_14600,Dinzer,,,,,,,
Stand_58_GNN_93760,Dinzer,,,,,,,
Stand_212_GNN_85910,Dinzer,,,,,,,
Stand_145_GNN_2932,Dinzer,,,,,,,
Stand_121_GNN_9024,Minkwell,,,,,,,
Stand_112_GNN_23628,Minkwell,,,,,,,
Stand_267_GNN_145381,Dinzer,,,,,,,
Stand_101_GNN_2854,Dinzer,,,,,,,
Stand_35_GNN_13239,Minkwell,,,,,,,
Stand_297_GNN_14452,Minkwell,,,,,,,
Stand_22_GNN_82714,Dinzer,,,,,,,
Stand_244_GNN_137526,Dinzer,,,,,,,
Stand_6_GNN_20760,Minkwell,,,,,,,
Stand_68_GNN_93760,Minkwell,,,,,,,
Stand_258_GNN_137267,Dinzer,,,,,,,
Stand_277_GNN_83057,Dinzer,,,,,,,
Stand_101_GNN_13239,Dinzer,,,,,,,
Stand_95_GNN_24817,Dinzer,,,,,,,
Stand_2_GNN_20918,Minkwell,,,,,,,
Stand_292_GNN_137256,Minkwell,,,,,,,
Stand_104_GNN_25120,Dinzer,,,,,,,
Stand_296_GNN_21274,Minkwell,,,,,,,
Stand_115_GNN_24617,Minkwell,,,,,,,
Stand_100_GNN_141180,Dinzer,,,,,,,
Stand_190_GNN_83057,Dinzer,,,,,,,
Stand_226_GNN_105268,Dinzer,,,,,,,
Stand_247_GNN_150017,Dinzer,,,,,,,
Stand_7_GNN_9194,Dinzer,,,,,,,
Stand_165_GNN_8685,Minkwell,,,,,,,
Stand_123_GNN_136257,Dinzer,,,,,,,
Stand_2_GNN_93981,Minkwell,,,,,,,
Stand_128_GNN_25195,Dinzer,,,,,,,
Stand_77_GNN_92811,Dinzer,,,,,,,
Stand_260_GNN_25150,Dinzer,,,,,,,
Stand_9_GNN_149098,Minkwell,,,,,,,
Stand_58_GNN_133652,Dinzer,,,,,,,
Stand_65_GNN_129875,Minkwell,,,,,,,
Stand_115_GNN_20760,Minkwell,,,,,,,
Stand_182_GNN_14347,Dinzer,,,,,,,
Stand_133_GNN_20760,Dinzer,,,,,,,
Stand_223_GNN_145522,Dinzer,,,,,,,
Stand_248_GNN_150017,Dinzer,,,,,,,
Stand_285_GNN_24237,Dinzer,,,,,,,
Stand_53_GNN_78626,Minkwell,,,,,,,
Stand_115_GNN_21177,Minkwell,,,,,,,
